plo_inv,phi_inv,mean_inv,scenario,time
68.043945,86.6539,77.236595,0,2025q1
68.310028,86.63652,77.230103,1,2025q1
68.310028,86.63652,77.230103,2,2025q1
68.310028,86.63652,77.230103,3,2025q1
86.98053,109.47224,98.327011,0,2025q2
87.074226,109.68839,98.277657,1,2025q2
87.074226,109.68839,98.277657,2,2025q2
87.074226,109.68839,98.277657,3,2025q2
121.32928,152.96075,137.4978,0,2025q3
121.49834,153.05392,137.35753,1,2025q3
121.49834,153.05392,137.35753,2,2025q3
121.49834,153.05392,137.35753,3,2025q3
156.72778,230.54681,179.77884,0,2025q4
158.37714,229.61296,179.37738,1,2025q4
158.37714,229.61296,179.37738,2,2025q4
158.37714,229.61296,179.37738,3,2025q4
194.35925,391.75998,308.99039,0,2026q1
192.45825,391.63599,302.10413,1,2026q1
192.45825,391.63599,302.10413,2,2026q1
192.45825,391.63599,302.10413,3,2026q1
248.81403,461.76767,379.30609,0,2026q2
244.13315,460.07391,371.43173,1,2026q2
244.13315,460.07391,371.43173,2,2026q2
244.13315,460.07391,371.43173,3,2026q2
295.71265,515.91772,429.19739,0,2026q3
295.38821,511.72128,421.10452,1,2026q3
295.38821,511.72128,421.10452,2,2026q3
295.38821,511.72128,421.10452,3,2026q3
318.13849,532.37915,448.7197,0,2026q4
318.77362,537.25629,447.2644,1,2026q4
335.86691,557.05884,464.55341,2,2026q4
350.07507,585.70721,485.50214,3,2026q4
286.61618,500.50238,417.1875,0,2027q1
310.53406,525.75555,437.85083,1,2027q1
378.81781,600.41687,508.12604,2,2027q1
454.80481,698.2522,593.35449,3,2027q1
253.3602,465.59225,383.30139,0,2027q2
299.01126,513.64417,426.81967,1,2027q2
421.46814,645.14587,551.39679,2,2027q2
562.16565,810.89905,702.50696,3,2027q2
209.7128,420.9292,339.84045,0,2027q3
278.61255,492.19498,406.26309,1,2027q3
455.75238,677.32971,585.29816,2,2027q3
662.1189,908.72168,802.46631,3,2027q3
175.60274,385.85806,304.5929,0,2027q4
264.629,479.16422,391.54181,1,2027q4
488.89471,712.0545,619.13971,2,2027q4
755.91284,999.51563,895.23389,3,2027q4
