min_inv,max_inv,p1_inv,p99_inv,p5_inv,p95_inv,p25_inv,p75_inv,mean_inv,p50_inv,inv_dc,time
0,3.8048964,2.152226,3.7254505,3.0623958,3.5685198,3.2531176,3.4219823,3.2954996,3.3375435,8.181057,2023q1
2.3196363,4.9413691,3.461309,4.8365269,3.6611171,4.6750207,3.9622755,4.4237633,4.1818838,4.181951,6.4659786,2023q2
3.6335278,5.6493492,3.9635921,5.4829383,4.1411676,5.3270769,4.4954376,5.0372133,4.7625961,4.7766976,4.561903,2023q3
7.8518338,10.855407,8.2466984,10.586052,8.4816284,9.9998684,8.8877144,9.5187798,9.2129507,9.1854954,15.592839,2023q4
16.471489,22.824312,16.957142,22.079876,17.318909,21.513927,18.426903,20.67495,19.589392,19.839565,26.273756,2024q1
20.661888,28.96106,21.596184,27.66433,22.305027,27.141491,23.825081,26.21607,25.010342,25.288654,37.788689,2024q2
28.792648,38.900585,29.897217,37.280373,30.774559,36.522823,32.592133,35.220818,33.852547,33.93428,50.539631,2024q3
37.619797,74.05957,44.512733,68.982658,46.911022,63.915062,51.376961,57.959103,54.887619,54.917259,49.788548,2024q4
60.521484,95.747505,64.269516,91.956573,68.043945,86.6539,73.34687,81.269974,77.236595,76.996918,85.516479,2025q1
75.472763,120.75815,81.771072,116.70809,86.98053,109.47224,93.529594,103.02103,98.327011,98.139,118.03642,2025q2
104.9995,163.99002,114.39835,160.97791,121.32928,152.96075,130.88553,144.24261,137.4978,137.56703,143.61732,2025q3
136.92358,256.82336,149.98059,249.88254,156.72778,230.54681,169.01355,184.75658,179.77884,176.80226,,2025q4
165.00391,432.16653,177.31799,414.51926,194.35925,391.75998,227.11432,368.96524,308.99039,346.73032,,2026q1
205.29654,500.13138,228.65804,478.85065,248.81403,461.76767,297.85144,435.2735,379.30609,410.02368,,2026q2
