equip_real,cpip_real,date
100.38438,,2015q1
100.72393,,2015q2
102.52321,,2015q3
98.016014,,2015q4
101.35542,,2016q1
100.15166,,2016q2
97.567513,,2016q3
99.592102,,2016q4
99.986656,,2017q1
104.40712,,2017q2
109.96258,,2017q3
108.75565,,2017q4
117.54897,,2018q1
121.57383,,2018q2
121.07879,,2018q3
118.33067,,2018q4
118.54012,,2019q1
124.91959,,2019q2
118.45866,,2019q3
122.31216,,2019q4
119.6804,8.5170002,2020q1
129.83932,7.9109998,2020q2
134.51259,8.2729998,2020q3
141.70973,8.2419996,2020q4
148.49115,8.4870005,2021q1
147.50954,8.1499996,2021q2
149.75203,8.7119999,2021q3
156.28171,8.0450001,2021q4
161.43944,7.9499998,2022q1
157.19246,8.3690004,2022q2
161.34953,8.6949997,2022q3
152.02202,8.6269999,2022q4
144.22513,10.844,2023q1
145.03963,11.509,2023q2
143.68355,12.889,2023q3
152.69371,15.225,2023q4
162.28778,16.707001,2024q1
172.03946,18.909,2024q2
184.0844,20.615999,2024q3
181.71919,22.533001,2024q4
217.0956,23.176001,2025q1
244.79674,25.487,2025q2
269.12039,25.806,2025q3
