cum_share,time_plan_to_start
6.8495274,1
12.360875,2
16.801125,3
24.419006,4
35.863087,5
39.611431,6
45.217052,7
51.743793,8
60.505337,9
63.102837,10
64.40023,11
67.668335,12
70.07798,13
70.958237,14
80.068832,15
80.551682,16
82.444366,17
84.860558,18
85.381912,19
86.061607,20
86.777695,21
87.010147,22
87.290222,23
87.344055,24
87.519417,25
88.011932,26
88.386459,27
89.286926,28
89.400536,29
89.437691,30
89.772217,31
89.901009,32
90.140457,33
90.530365,34
90.571922,35
91.307442,36
91.775063,37
91.845741,38
92.031357,39
92.389748,40
93.317848,41
93.814735,42
94.216324,43
94.391235,44
94.873131,45
94.875275,46
94.918808,48
94.922371,51
94.99276,52
95.421112,53
96.136459,54
96.638802,57
96.998474,58
97.190109,60
97.244362,62
97.269737,64
97.290802,68
97.501411,72
97.579941,75
97.622871,76
97.63002,79
97.633667,81
97.71196,87
97.790489,88
97.804764,89
97.886162,90
97.9422,91
98.44194,94
98.955971,96
98.958267,97
99.013947,101
99.816856,107
99.917908,109
99.946457,123
100,154
